71156	自由履修科目	コーヒーと社会１	火3	中村　裕之	全学生
71A10a.101	ＧＳ科目	現代世界への歴史学的アプローチ	木2	小髙　敬寛	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71A10a.102	ＧＳ科目	現代世界への歴史学的アプローチ	木3	小髙　敬寛	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71A10a.103	ＧＳ科目	現代世界への歴史学的アプローチ	金3	小髙　敬寛	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71A10a.104	ＧＳ科目	現代世界への歴史学的アプローチ	金4	小髙　敬寛	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71A10a.105	ＧＳ科目	現代世界への歴史学的アプローチ	木4	足立　拓朗	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71B10a.101	ＧＳ科目	グローバル時代の政治経済学	火2	佐々木　葉月	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71B10a.102	ＧＳ科目	グローバル時代の政治経済学	火4	佐々木　葉月	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71C10a.101	ＧＳ科目	グローバル時代の社会学	月5	眞住　優助	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71C10a.102	ＧＳ科目	グローバル時代の社会学	火2	眞住　優助	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71C10a.103	ＧＳ科目	グローバル時代の社会学	火4	眞住　優助	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71C10a.104	ＧＳ科目	グローバル時代の社会学	水3	眞住　優助	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71C10a.105	ＧＳ科目	グローバル時代の社会学	木4	渡辺　達雄	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71D10a.101	ＧＳ科目	ケーススタディによる応用倫理学	水4	山本　英輔	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71E20a.101	ＧＳ科目	地球生物圏と人間	月2	佐藤　圭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71E20a.102	ＧＳ科目	地球生物圏と人間	月4	佐藤　圭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
71E20a.103	ＧＳ科目	地球生物圏と人間	火4	佐藤　圭	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72284	自由履修科目	ゼミ／漢文史料読解Ａ１	金5	古畑　徹	全学生（2020年度以降入学者履修登録用）
72501.02	自由履修科目	日本国憲法概説	水3	石川　多加子	法学類の1･2年以外限定
72A10a.101	ＧＳ科目	哲学（自我論）	火3	GRUENEBERG PATRICK	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72A10a.102	ＧＳ科目	哲学（自我論）	水4	GRUENEBERG PATRICK	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72A10a.103	ＧＳ科目	哲学（自我論）	月3	佐々木　拓	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72B10a.101	ＧＳ科目	パーソナリティ心理学	月4	菊谷　まり子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72B10a.102	ＧＳ科目	パーソナリティ心理学	火3	菊谷　まり子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72B10a.103	ＧＳ科目	パーソナリティ心理学	火4	菊谷　まり子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72B10a.104	ＧＳ科目	パーソナリティ心理学	木3	菊谷　まり子	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72C10a.101	ＧＳ科目	グローバル時代の文学	水4	佐藤　文彦	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72C10a.102	ＧＳ科目	グローバル時代の文学	木3	佐藤　文彦	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72C10a.103	ＧＳ科目	グローバル時代の文学	金3	佐藤　文彦	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72C10a.104	ＧＳ科目	グローバル時代の文学	金4	佐藤　文彦	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72C10a.105	ＧＳ科目	グローバル時代の文学	月4	山本　卓	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72C10a.106	ＧＳ科目	グローバル時代の文学	木2	宮澤　優樹	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72D20a.101	ＧＳ科目	健康科学	月3	唐島　成宙	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72D20a.102	ＧＳ科目	健康科学	月4	唐島　成宙	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72D20a.103	ＧＳ科目	健康科学	火3	唐島　成宙	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
72D20a.104	ＧＳ科目	健康科学	火4	唐島　成宙	全学生（共通教育科目に係る卒業要件未充足の2年以上優先）
